施設名,ラウンジ形態,媒体,総合スコア,投稿日,宿泊日,プラン名,喫食,客室,利用人数,年代,性別,目的,同伴者,レビュータイトル,レビュー本文,客室、アメニティ,施設、設備,接客、サービス,お食事,温泉、お風呂,満足度
天神プレイス,宿泊者全員,楽天,4.00,2025年07月02日,2025年06月,【カップル】JILL STUART　バスアメニティ付プラン,朝食付,【禁煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,30代,女性,レジャー,家族,,リファルーム＋ジルスチュアートのバスアメニティ付きプランで2泊しました！お部屋はちょうど良い広さで、バスルームのバスタブが思ってたよりも広く快適でした！また、アメニティも身体を洗う際に使うボディタオルがあるのが個人的に嬉しかったです。 朝食のスリランカカレー、お茶漬けどちらも美味しかったです！また昼間はラウンジとして使えるのも良かったです！,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年07月01日,2025年06月,【女性専用フロア】■ReFaルーム誕生記念～宿泊しながら美しさを磨く空間へ～,朝食付,【喫煙】ReFaルーム：クイーン（2名）■ベッド160cm幅,,不明,不明,レジャー,家族,,天神エリアは人が多く混雑しているため、地下鉄でのアクセスは天神南駅よりも薬院駅や渡辺通駅のほうが便利だと感じました。ホテルは駅から徒歩5分ほどで、立地もまずまず良好です。河合塾側にあるコンビニがすぐ近くにあり、ちょっとした買い物にも便利でした。 フロントの対応は丁寧で感じがよく、好印象です。また、フロント横の朝食会場では、チェックイン時からドリンクやお菓子のサービスを利用できるのも嬉しいポイントでした。 部屋は清潔感があり、アメニティも充実していて快適に過ごせました。ただ、椅子がやや邪魔に感じられた点は少し気になりました。 無料の朝食では、お茶漬けが美味しかったです。フルーツは種類こそ多くありませんが、カットリンゴが用意されていて嬉しかったです。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年06月22日 06:50:43,2025年06月,【スタンダードプラン】シンプルステイ～朝食無料サービス～,朝食付,【女性専用禁煙】■Refaルームシングル■ダブルベッド×１,,不明,不明,ビジネス,一人,,お部屋の清掃状況も良くアメニティも揃っており、スタッフの対応もどなたもとても印象が良かったです。 旅程変更となりチェックインよりもかなり前の時間に到着でしたが、時間までカフェラウンジでゆっくり待つことが出来、助かりました。 有難うございました。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年06月17日 16:21:26,2025年06月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【女性専用禁煙】■Refaルームシングル■ダブルベッド×１,,不明,不明,レジャー,一人,,ものすごく、ホテルさがすのがたいへんだった,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年06月16日 17:25:22,2025年06月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】シングル（1名）■ダブルベッド140cm幅,,70代,男性,レジャー,一人,,天神プレイスでの宿泊は開館した当初から数十回になりますが、清潔で綺麗なホテルです。 最近は更にきちんとした対応とセキュリティーになっていて安心です。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年06月16日,2025年06月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【喫煙】シングル（1名）■ダブルベッド140cm幅,,60代,男性,ビジネス,一人,,繁華街近くで便利な立地 朝食は期待してなかったが、一般のビジネスホテルと遜色なく種類もあり満足です,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年06月09日,2025年06月,【朝食無料サービス】■お得に泊まる、楽天ポイント20倍付き,朝食付,【禁煙】シングル（1名）■ダブルベッド140cm幅,,不明,不明,レジャー,一人,,立地は少し不便でしたが、部屋でゆっくり過ごすことができました。 アメニティをもう少し充実してくれたらうれしかったです。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年06月09日 13:55:42,2025年05月,【お日にち限定】グループ・ファミリーにおすすめ！みんなで仲良しステイ♪,朝食付,【禁煙】シングル（1名）■ダブルベッド140cm幅,,30代,男性,ビジネス,一人,,2025年6月に夫婦で泊まりました。博多へは遠い位置にありますがレンタル自転車でしっかり観光も出来ました。駅前ということもあり、居酒屋も多くて立地良かったです。車も安心して停められた点も良かったです。バス・トイレ一緒の部屋かーと思いながら泊まった部屋でしたがエレベーター、廊下、部屋の広さ、洗面所の明るさ全て最高でした。妻はReFaのシャワーとドライヤーにご機嫌でした。また、ラウンジで朝食をとりましたがそこにいるスタッフの方々がみんな丁寧かつめちゃくちゃ挨拶してくれて気持ち良かったです。廊下の奥から挨拶してくれた女性の方もいました。また福岡に泊まる際はぜひ利用したいホテルです。ありがとうございました。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年06月07日,2025年06月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】ツイン■ダブルベッド140ｃｍ幅×2台,,不明,不明,レジャー,家族,,ラウンジでのスイーツとドリンクの無料サービス，朝食のカレーが特に良かった。部屋も快適。また泊まりたい。,,,,,,
天神プレイス,宿泊者全員,楽天,3.00,2025年06月01日 16:01:51,2025年05月,【楽天月末セール】シンプルステイ朝食無料サービス　２０２５皐月,朝食付,【禁煙】シングル（1名）■ダブルベッド140cm幅,,60代,男性,その他,一人,,乳液・化粧水等がないのが残念だった。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年06月01日,2025年05月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】シングル（1名）■ダブルベッド140cm幅,,60代,男性,レジャー,一人,,コーヒーがおいしい。 ランドリーがない。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年05月29日,2025年05月,【カップル】JILL STUART　バスアメニティ付プラン,朝食付,【喫煙】シングル（1名）■ダブルベッド140cm幅,,60代,男性,ビジネス,一人,,立地も良く近くに何でも揃っていて便利でした。チェックイン後はいつでもコーヒーや軽食出来るとこもあり満足。 ただベットがもう少し大きければ言う事なしでしたが、、,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年05月27日,2025年05月,【春夏SALE】シンプルステイ　朝食無料サービス　２０２５初夏,朝食付,【禁煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,60代,男性,レジャー,一人,,立地は申し分なく、噂の無料での朝食がついて、そのスリランカカレーがとてもおいしかったです。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年05月26日,2025年05月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,50代,女性,その他,家族,,ドリンクサービスがあり、落ち着いた感じで、とてもくつろげました。 ちょっとした、デザートもあり満足でした。 朝食のパンとスパイスカレーも、とても美味しかったです。 立地条件もよく、歩いて天神まで行けました。 予約の時点で駐車場予約したのですが、満車で予約できなかったのが残念でした。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年05月25日,2025年05月,【朝食無料サービス】■お得に泊まる、楽天ポイント20倍付き,朝食付,【禁煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,不明,不明,レジャー,家族,,部屋が広くて綺麗で快適。 朝食は軽く食べるには充分,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年05月22日 17:35:04,2025年05月,【女性専用フロア】■ReFaルーム誕生記念～宿泊しながら美しさを磨く空間へ～,朝食付,【女性専用禁煙】■Refaルームシングル■ダブルベッド×１,,不明,男性,レジャー,一人,,お部屋もパブリックスペースもきれいに整えられていました。。 １階ラウンジの前庭に面した扉の前にソファがあったり、朝食サラダのトッピングが豊富だったり センスの良いアドバイザーがいるのかなと思いました。周辺は飲食店とラブホですが危険な感じはありません。 地下鉄駅中心から徒歩１５分くらい。機会があればまた泊まりたいホテルです。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年05月21日,2025年05月,楽天スーパーSALE,朝食付,【喫煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,60代,不明,ビジネス,一人,,今泉にてコスパ高いステイが出来ました 天神中央部へも徒歩で直ぐ 無料朝食も美味しく満足でした,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年05月20日 20:35:03,2025年05月,【楽天月末セール】シンプルステイ朝食無料サービス　２０２５卯月,朝食付,【喫煙】シングル（1名）■ダブルベッド140cm幅,,不明,男性,レジャー,一人,,西鉄天神駅三越側の出口から徒歩10分もしないで着きます、天神と薬院駅の真中にあり、薬院駅から行くと少し分かりにくいかもしれません。場所はとても良いです。 朝食のカレーがスパイシーで美味しかったのと野菜の横に置いてあるお皿が大きいので目一杯サラダを食べました。ラウンのコーヒーが飲み放題なのもオススメポイントです。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年05月18日,2025年05月,【春夏SALE】シンプルステイ　朝食無料サービス　２０２５初夏,朝食付,【喫煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,50代,不明,レジャー,家族,,５月１３日から２泊、結婚３０年記念旅行で夫婦でお世話になりました。 最寄りの地下鉄駅からも近く立地良し。近所にコンビニや飲食店もたくさんあります。 フロントスタッフの親切丁寧な対応も良く、レストランスタッフ、清掃スタッフも皆笑顔で気持ちの良い接客をしてくれました。 朝食無料サービスもスリランカカレーが美味しかったです。 もしまた福岡に泊まる機会があればまた泊まりたいと思います。 お世話になりました。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年05月18日 07:25:37,2025年05月,楽天スーパーSALE,朝食付,【禁煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,不明,不明,レジャー,友達,,LIVEで福岡訪問の際に利用しました。 他のホテルと比べお値段そこまで高くないのに、シャンプー、コンディショナー、シャワーヘッド、ドライヤー、アイロンと、部屋の設備がReFaで揃えられていて女子には最高のお部屋でした！ また、口コミで気になっていたスリランカカレーもとても美味しく、無料で付いてくる朝食なのに大満足でした！ また利用したいです！,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年05月17日 16:13:29,2025年05月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,不明,男性,レジャー,家族,,ユニットバスの部屋が広くて シャワーやお風呂に入るのも トイレも狭すぎず、よかったです。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年05月17日,2025年05月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】シングル（1名）■ダブルベッド140cm幅,,60代,不明,レジャー,一人,,天神の繁華街から近くて夜の食事は困らないくてよかったです。また、スタッフの方のwelcomeメッセージと 折鶴がよかったです。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年05月16日 00:20:45,2025年04月,【春爛漫！12時チェックアウト無料】～ズラしてお得な春休み～,朝食付,【禁煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,不明,不明,レジャー,家族,,朝ごはん美味しかったです。 快適に過ごせました。 ありがとうございました！,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年04月21日 08:29:47,2025年04月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,不明,不明,ビジネス,家族,,駅から少し離れていますが、その分街中を歩いたり屋台を見物したりできました。朝食のスリランカカレーの評価が高かったので期待していましたが、本当に美味しかったです。サラダも新鮮で大満足です。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年04月15日 21:10:27,2025年04月,楽天スーパーSALE,朝食付,【禁煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,不明,不明,レジャー,家族,,立体駐車場がホテルの隣にあり、時間内は、出し入れ自由で便利が良い,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年04月14日 19:35:08,2025年03月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】シングル（1名）■ダブルベッド140cm幅,,不明,不明,その他,一人,,連泊しましたが、朝食のスリランカカレーがおいしかったので連泊してよかったなと思いました。日中は朝食を食べた場所が解放されていて、そこでもコーヒーを飲んだり、小さなケーキやお菓子のサービスもあり疲れた午後は大変助かりました。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年04月12日 17:30:02,2025年04月,【朝食無料サービス】■お得に泊まる、楽天ポイント20倍付き,朝食付,【喫煙】シングル（1名）■ダブルベッド140cm幅,,不明,男性,ビジネス,一人,,４月１０日に宿泊しました。 午後の予定より早く到着したため、チェックイン前のお昼前に荷物を預けに行きました。 対応してくれたフロントのスタッフの方は外国人でしたが、日本語も対応も丁寧で素晴らしく、非常に気持ちよかったです。 お時間があればどうぞとラウンジ利用の声かけをしてくれ、初めて利用しましたが驚きました。 ソフトドリンクやコーヒー各種のドリンクバー、複数のパンや小さなケーキ、お菓子が自由に楽しめる内容になっていて、お昼をどこで食べようか悩んでいましたが、パンやケーキをいただいたのでお昼代わりになって非常に助かりました。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年04月05日,2025年04月,楽天スーパーSALE,朝食付,【禁煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,70代,男性,レジャー,家族,,友人夫婦と３連泊しました。親切なスタッフ皆さんのお陰で、博多の楽しい日々と色んなグルメを満喫させて頂きました。おいしかった～！ユニットバスも一般的なビジネスホテルよりも広くて良かったです。朝食のスパイスカレーやパンは美味しく頂きました。皆さん大変お世話になり泊まる際はまた宿泊します。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年03月27日,2025年03月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【喫煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,60代,男性,ビジネス,仕事仲間,,今回も朝食に美味しいスリランカカレーを堪能出来て良かったです。 フロントの対応も毎回素晴らしいし、次回も必ず利用させていただきます。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年03月27日,2025年03月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【喫煙】シングル（1名）■ダブルベッド140cm幅,,60代,女性,ビジネス,仕事仲間,,いつも気持ちよく利用させてもらって有難うございます。 次回もまた利用させていただきますのでよろしくお願いします。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年03月24日,2025年03月,楽天スーパーSALE,朝食付,【禁煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,20代,不明,レジャー,一人,,思ったよりよかった！,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年03月16日 12:08:21,2025年03月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,不明,不明,レジャー,家族,,3月に夫婦観光で3泊しました。従業員の方皆さんの対応も凄くよかったです。評判だった朝食のカレーもとても美味しかったです。パンも種類が多く新鮮なサラダも満足でした。また、駐車場も宿泊中は出し入れが自由らしく遠くの観光にも大変便利だと思います。特に自由に使えるラウンジ良く、飲み物と軽食が用意補充されていて、カフェには行かずここで旅の計画立てれました。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年03月15日 11:31:42,2025年03月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【喫煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,不明,女性,レジャー,恋人,,値段も良心的で立地もよく 近くに飲食店がたくさんあり 歩いてどこでも行けて便利です。 駐車場もあり車でくる際も安心です。 朝食のカレーが美味しかったです！,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年03月11日,2025年03月,【女性に人気】『JILL STUART』のバスアメニティで贅沢なバスタイムを♪,朝食付,【女性専用禁煙】■Refaルームシングル■ダブルベッド×１,,50代,不明,ビジネス,一人,,レディースフロアに宿泊しました。エレベーターを降りると、よい香りがして仕事終わりでしたが、なんだかほっとしました。Refaルームだったので、シャワーヘッド、シャンプー、コンディショナーまでRefa。ドライヤーはもちろん、ヘアアイロンもあり、気分が上がりました。 また、部屋の鏡も大きく、また上にライトもついているため、化粧もしやすくとっても助かりました。ベッドサイドにUSBもあったり、いろいろ気遣いが感じられる仕様でした。 朝食も、カレーやパン、サラダと十分なものでした。また、宿泊したいと思います。 ありがとうございました。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年03月11日,2025年01月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】シングル（1名）■ダブルベッド140cm幅,,50代,男性,ビジネス,一人,,仕事で１週間程滞在しました 立地条件も良くたいへん満足しました また機会があれば是非宿泊したいです。,,,,,,
天神プレイス,宿泊者全員,楽天,3.00,2025年02月28日 12:38:46,2025年02月,【女性専用フロア】■ReFaルーム誕生記念～宿泊しながら美しさを磨く空間へ～,朝食付,【女性専用禁煙】■Refaルームクイーン■クイーンベッド×１,,不明,不明,ビジネス,一人,,お値段もリーズナブルでフロントの方も丁寧な接客です。今回2回目の宿泊でした。 概ね満足なのですが、今回、入室して布団をめくってみると長い髪の毛が・・・・。フロントに言うか迷ったのですが今回はそのまま宿泊しました。あまり気分のよいものではありません。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年02月28日,2025年02月,【朝食無料サービス】■お得に泊まる、楽天ポイント20倍付き,朝食付,【禁煙】ReFaルーム：クイーン（1名）■ベッド160cm幅,,60代,男性,レジャー,友達,,今回はシングルが無くクィーンの利用となり金額的には高かったのですが、朝食の スリランカカレーが美味しくて２杯も食べてしまいました。 前にも１度当ホテルを利用しましたが駐車場が広くスリランカカレーをまた食べたいので 次回も必ず利用させていただきます。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年02月23日 23:14:15,2025年02月,【朝食無料サービス】■お得に泊まる、楽天ポイント20倍付き,朝食付,【喫煙】シングル（1名）■ダブルベッド140cm幅,,不明,不明,ビジネス,一人,,やや古さを感じましたが清掃もしっかりされており部屋はきれいでした。前日に喫煙から禁煙の部屋に変更をお願いしたところ、快く受付して下さいました。ウェルカムドリンクも豊富でそのうえカヌレやバームクーヘンなども用意されており、仕事帰りの疲れた体には心地よいサービスでした。朝食は種類は少ないものの、初めてのスリランカカレーは辛さの中にもココナツミルクの甘さが感じられ美味しくいただきました。だし茶漬けもあり連泊でも気にならないと思います。クルーには外国籍の方も多くいらっしゃましたが、笑顔で接していただき良い雰囲気でした。一度カードキーを室内に忘れてしまいご迷惑をおかけしましたが、その際も嫌なな顔せず対応いただきました。残念だったのはチェックインの際にウェルカムドリンクの案内がなかったことでした。わかっていると思われたかもしれませんが一言案内して下さればと思いました。全体的には高評価なホテルだと思います。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年02月22日 16:47:03,2025年02月,【楽天月末セール】シンプルステイ～朝食無料サービス～2024初冬,朝食付,【禁煙】シングル（1名）■ダブルベッド140cm幅,,不明,不明,ビジネス,一人,,福岡出張でよく利用されていただいてます。 1Fフリースペースでドリンクやお菓子もいただけ、ゆっくりと過ごすことができます。 飲食店も近くにたくさんあり、とても便利です。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年02月21日,2025年02月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】シングル（1名）■ダブルベッド140cm幅,,60代,男性,レジャー,一人,,2/18から2泊しました。 レンタカーで移動していたので、駐車場が確実に確保できるのが選択の理由です。 朝食はなぜスリランカカレーなんだろうと思いましたが、ココナッツミルクとスパイスが効いていて美味しかったです。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年02月21日,2025年02月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【喫煙】ツイン■ダブルベッド140ｃｍ幅×2台,,60代,男性,レジャー,友達,,2月17日から3泊4日で宿泊しました。福岡来た時の定宿ですが、今回朝食がサラダとカレーがバイキング形式になっていて良かったです!静かな所でベッドも広く寝やすい。泊まってる間は掃除無しにしてクオカードをもらってます。普通に使ってれば汚れないし。お勧めします、,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年02月18日,2025年02月,【カップルにおすすめ】■ReFaルーム：クイーンサイズベッド～宿泊しながら美しさを磨く空間へ～,朝食付,【喫煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,60代,男性,その他,恋人,,今回は駐車場利用の件で問題が起きましたがフロントの方の的確な対応で非常に 気持ちよく帰宅することが出来ました。 今週も利用させて頂きますのでよろしくお願いします。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2025年02月09日 15:04:43,2024年12月,【楽天月末セール】シンプルステイ～朝食無料サービス～【素泊まり】,朝食付,【禁煙】ReFaルーム：クイーン（2名）■ベッド160cm幅,,不明,不明,レジャー,恋人,,年末年始に2泊させていただきました。 事前に駐車場予約のお電話した時、満車とのことだったのですが、土地勘がないとお伝えしたら、いくつかおすすめの駐車場を教えていただけました。その際も大変丁寧なご対応。 朝食はレストランでカレーか、部屋食のパン。また、昼頃から夜にかけては、珈琲などのサービス、大晦日には、インスタントお蕎麦のサービスもありました。 立地は天神から近く、付近はラブホがあるにしても気にならない程度。 福岡初心者にはとても良い立地でした。 ReFaのシャワーヘッド、最高でした。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年01月31日,2025年01月,【朝食無料サービス】■お得に泊まる、楽天ポイント20倍付き,朝食付,【喫煙】シングル（1名）■ダブルベッド140cm幅,,50代,男性,ビジネス,一人,,仕事で宿泊であれば問題ないレベルですね。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年01月30日 20:09:19,2025年01月,【楽天月末セール】シンプルステイ～朝食無料サービス～2024初冬,朝食付,【禁煙】シングル（1名）■ダブルベッド140cm幅,,不明,不明,レジャー,一人,,お弁当おしいかったです,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年01月07日,2024年12月,【秋冬SALE】■期間限定『SALE！SALE！SALE！』,朝食付,【喫煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,60代,男性,レジャー,仕事仲間,,相変わらずフロントの対応が良くて安心して宿泊出来ます。 今年も利用させていただきます。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2025年01月07日,2024年12月,【秋冬SALE】■期間限定『SALE！SALE！SALE！』,朝食付,【禁煙】シングル（1名）■ダブルベッド140cm幅,,60代,男性,レジャー,友達,,次回もまた利用させていただきます。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2024年12月25日 12:41:51,2024年12月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】シングル（1名）■ダブルベッド140cm幅,,不明,不明,ビジネス,一人,,朝ごはんがとてもおいしかったです。あえて、問題点を挙げるとすると、タクシーが通らないので、拾いづらい点でしょうか。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2024年12月20日 17:22:57,2024年12月,【キャンセル料無料】当日でも安心！シンプルステイ＊朝食無料サービス付き,朝食付,【禁煙】シングル（1名）■ダブルベッド140cm幅,,不明,不明,ビジネス,一人,,フロントの接客が丁寧で好感を持てました。お部屋やバスルームを始め、全体的に建物が綺麗なので気持ち良く過ごせました。 朝食のスリランカカレーは好みが別れるかも。あと、周辺にラブホテルが多いとは知りませんでした。 でも、トータルで満足しています。ありがとうございました。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2024年12月20日 15:38:31,2024年11月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【女性専用禁煙】■Refaルームツイン■ダブルベッド×２,,不明,不明,ビジネス,仕事仲間,,女性専用禁煙部屋はアメニティがボディクリームまであって手ぶらで泊まれてよいですね！ リファ部屋とのことで、リファのドライヤーとカールアイロンが置いてありました。 お風呂場にはリファのシャンプーとコンディショナーもあって使ってみました。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2024年12月19日 17:00:42,2024年12月,【駐車場利用不可】シンプルステイ～朝食無料サービス～,朝食付,【喫煙】ツイン■ダブルベッド140ｃｍ幅×2台,,不明,不明,その他,友達,,部屋も広く、立地も良くスリランカカレー予想より美味しかった。パン朝食もどんなものか試して見たけど、スリランカカレー押しです!フロントの接客も良かった!福岡来た時の定宿にします!2月又宜しくお願いします!,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2024年12月15日 15:12:02,2024年12月,【朝食無料サービス】■お得に泊まる、楽天ポイント20倍付き,朝食付,【喫煙】ReFaルーム：クイーン（1名）■ベッド160cm幅,,不明,不明,レジャー,友達,,部屋がとても綺麗でした。 枕がとても柔らかくて快適でした。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2024年12月05日 14:53:35,2024年12月,【キャンセル料無料】当日でも安心！シンプルステイ＊朝食無料サービス付き,朝食付,【禁煙】ReFaルーム：クイーン（1名）■ベッド160cm幅,,不明,不明,ビジネス,一人,,初めて利用させていただきました。 ホテル付近に飲食店・コンビニもあるので利便性の高いホテルでした。 ありがとうございました。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2024年11月25日 13:34:13,2024年11月,【駐車場利用不可】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,不明,不明,レジャー,恋人,,旅行で利用しました。 駅から少し遠いのが難点ですが、中は綺麗で接客も丁寧だったので気持ちよく過ごせました。 天神の屋台までは少し距離がありますが、街中のイルミネーションを見ながら歩けてよかったです。 また行く機会があれば利用したいと思います。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2024年11月25日 09:27:42,2024年11月,【スタンダードプラン】シンプルステイ～朝食無料サービス～,朝食付,【喫煙】シングル（1名）■ダブルベッド140cm幅,,不明,不明,ビジネス,一人,,清潔な設備で快適な宿泊でした。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2024年11月23日 16:32:46,2024年11月,【駐車場利用不可】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,不明,不明,レジャー,家族,,ライブのために利用しました。 ライブ後食事してホテルまでの帰る際に、駅から近いし周辺に飲食店が多くて、大変便利でした。 部屋は広くはないけれど、清潔で使いやすくアメニティも充実していて、ゆっくりできました。 朝食サービスにパンBOXを選んだのですが、美味しくて可愛くて、お部屋に持ち帰って食べられるのも嬉しかったです。,,,,,,
天神プレイス,宿泊者全員,楽天,3.00,2024年11月13日 11:12:23,2024年11月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】ダブル（2名利用）■ダブルベッド140ｃｍ幅×1台,,不明,不明,レジャー,家族,,朝食のスリランカカレーがとても美味しかったです。 アメニティが2名宿泊なのに1名分しかなく、フロントに連絡するとすぐに持ってきてくれました。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2024年11月10日,2024年11月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】ツイン■ダブルベッド140ｃｍ幅×2台,,50代,女性,レジャー,家族,,渡米前の二泊をさせていただいたのですが、申し分ないサービスとスタッフの方の丁寧な対応にまた是非泊まりたいと思いました。,,,,,,
天神プレイス,宿泊者全員,楽天,5.00,2024年11月09日 09:51:50,2024年10月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【禁煙】ツイン■ダブルベッド140ｃｍ幅×2台,,不明,不明,レジャー,家族,,天神の観光には便利な立地でで良かった。また、車での旅行だったので、駐車場を事前に予約できたので、この点は安心だった。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2024年11月06日,2024年10月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【喫煙】ReFaルーム：クイーン（2名）■ベッド160cm幅,,60代,男性,ビジネス,仕事仲間,,今回はシングルルームが無くて宿泊費が高くついたのが残念でしたが次回もまた利用させていただきます。,,,,,,
天神プレイス,宿泊者全員,楽天,4.00,2024年11月06日,2024年10月,【素泊まり】シンプルステイ～朝食無料サービス～,朝食付,【喫煙】ReFaルーム：クイーン（2名）■ベッド160cm幅,,60代,男性,ビジネス,仕事仲間,,今回はスリランカカレーも食べることが出来て満足しました。 次回も必ず利用させて頂きます。,,,,,,
